WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-59.4338508 13.1394083,-59.4335783 13.1391732,-59.4335614 13.1391607,-59.4332028 13.1388427,-59.433172 13.1388164,-59.4328516 13.1385183,-59.432816 13.1384907,-59.4324414 13.1381587,-59.4320781 13.1385105,-59.4315959 13.1380776,-59.4311896 13.1377132,-59.4307992 13.137349,-59.4304262 13.1369965,-59.4300257 13.1365943,-59.429629 13.1361987,-59.4292319 13.1358005,-59.4288757 13.1354298,-59.4285788 13.1351475,-59.4285596 13.1351057,-59.4285694 13.13506,-59.4285908 13.1350182,-59.4289201 13.1346419,-59.4292927 13.1343076,-59.4293066 13.1342973,-59.4296841 13.1339871,-59.4300809 13.1336545,-59.4303347 13.133476)",residential,,Ocean View Avenue,,,,,,,,,
"LINESTRING (-59.4284522 13.1390767,-59.4296541 13.1379473)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4282339 13.138862,-59.4288352 13.1382969,-59.4291671 13.1379776)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4360788 13.1176367,-59.4358412 13.1179821,-59.435846 13.1182367,-59.4358166 13.1184872,-59.4357332 13.1187091,-59.4356156 13.1188415,-59.4354561 13.1189679,-59.4353073 13.119057,-59.4351352 13.1191344,-59.4350345 13.1192057,-59.4349647 13.1193025,-59.4348953 13.1195418,-59.4348094 13.1197675,-59.4346893 13.1199012,-59.4345434 13.1199932,-59.4344098 13.1200415)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4334542 13.1211343,-59.4340374 13.1207042,-59.4342365 13.1205574)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4351603 13.1205713,-59.4343851 13.1212795)",residential,,Ocean Drive,,,,,,,,,
"LINESTRING (-59.4338813 13.1216731,-59.4334542 13.1211343,-59.4331992 13.1208207,-59.4331684 13.1207658,-59.4331684 13.1207227,-59.4331804 13.1206901,-59.4332167 13.1206535,-59.4334898 13.1204487)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4335554 13.121932,-59.4338813 13.1216731,-59.4343851 13.1212795)",residential,,Ocean Drive,,,,,,,,,
"LINESTRING (-59.4349647 13.1193025,-59.4354475 13.1199208,-59.4356131 13.1201364,-59.4358475 13.1204396,-59.4362673 13.1209855,-59.4366998 13.1215103)",residential,,Ocean Mist Drive,,,,,,,,,
"LINESTRING (-59.4326631 13.1222922,-59.432992 13.1227224)",residential,,Regans Gap,,,,,,,,,
"LINESTRING (-59.4343851 13.1212795,-59.435357 13.1225523)",residential,,Dolphin Drive,,,,,,,,,
"LINESTRING (-59.4361265 13.1218435,-59.435357 13.1225523,-59.4351235 13.1227854,-59.4348524 13.1230224,-59.434562 13.1232279)",residential,,Turtle Drive,,,,,,,,,
"LINESTRING (-59.4333124 13.1216298,-59.4326631 13.1222922,-59.4320291 13.1229496,-59.4319939 13.1229898,-59.4319788 13.1230159,-59.4319708 13.1230414,-59.4319785 13.1230678,-59.4319902 13.123088,-59.4321589 13.123281,-59.4323629 13.1234991,-59.4327681 13.1239135,-59.4327929 13.1239259,-59.4328204 13.1239285)",residential,,Sunrise Crescent,,,,,,,,,
