WKT,highway,noname,name,maxspeed,ref,surface,source_1,oneway,service,lanes
"LINESTRING (-59.5620683 13.127391,-59.5620545 13.1278187)",residential,,,,,,,,,
"LINESTRING (-59.5624141 13.1274151,-59.5620683 13.127391,-59.5609391 13.1273123,-59.5605916 13.1272881,-59.5597591 13.1272387)",residential,yes,,,,,,,,
"LINESTRING (-59.5605916 13.1272881,-59.5605709 13.1276651,-59.5605368 13.1277192)",residential,yes,,,,,,,,
"LINESTRING (-59.5597323 13.1277038,-59.5597176 13.1276706,-59.5597211 13.1273867)",residential,yes,,,,,,,,
"LINESTRING (-59.5605368 13.1277192,-59.5604681 13.12774,-59.5597702 13.1277215,-59.5597323 13.1277038)",residential,yes,,,,,,,,
"LINESTRING (-59.5378147 13.1266046,-59.5376067 13.1265321)",residential,,,,,,,,,
"LINESTRING (-59.5378147 13.1266046,-59.5378822 13.1266263,-59.5380226 13.1266771,-59.5380863 13.1268097,-59.5380867 13.1269431,-59.5380451 13.1270234,-59.5379578 13.1270536,-59.5376842 13.127046)",residential,yes,,,,,,,,
"LINESTRING (-59.5376842 13.127046,-59.5378147 13.1266046)",residential,yes,,,,,,,,
"LINESTRING (-59.5401868 13.1283215,-59.5397989 13.1284375,-59.5395479 13.1284989,-59.5394034 13.1285677,-59.5393111 13.1286724,-59.5392263 13.1288005)",residential,,,,,,,,,
"LINESTRING (-59.5379621 13.1277342,-59.5375615 13.1277132)",service,,,,,,,,,
"LINESTRING (-59.5382749 13.1282158,-59.5382503 13.1284582,-59.5382346 13.1286394,-59.5382749 13.1287879,-59.5383422 13.1289058,-59.5383579 13.1289779,-59.5383783 13.1290668)",residential,,,,,,,,,
"LINESTRING (-59.5373343 13.1270813,-59.5374396 13.1272342,-59.5376182 13.1273526)",service,,,,,,,,,
"LINESTRING (-59.5375393 13.1278542,-59.5371885 13.1278347)",service,,,,,,,,,
"LINESTRING (-59.5363919 13.1271709,-59.536408 13.1275444,-59.5363704 13.1275862,-59.5363203 13.1276081)",residential,,,,,,,,,
"LINESTRING (-59.5374688 13.1289424,-59.5374879 13.1281808,-59.5375393 13.1278542,-59.5375615 13.1277132,-59.5376182 13.1273526,-59.5376359 13.1272407,-59.5376842 13.127046)",residential,yes,,,,,,,,
"LINESTRING (-59.5363203 13.1276081,-59.5359975 13.1276144,-59.5351271 13.1275894,-59.5348496 13.1275603,-59.5347343 13.1275853)",residential,yes,,,,,,,,
"LINESTRING (-59.5359975 13.1276144,-59.5358984 13.1278983,-59.535735 13.1282441,-59.5356908 13.1283734,-59.5356855 13.128585)",residential,yes,,,,,,,,
"LINESTRING (-59.5365517 13.1285597,-59.5359328 13.1285837,-59.5358065 13.1286098)",residential,,,,,,,,,
"LINESTRING (-59.5343267 13.1274197,-59.5343094 13.1270953,-59.5343124 13.1270328,-59.5343235 13.1268024,-59.5343448 13.1264784,-59.5343129 13.1261406,-59.5342988 13.1258946,-59.5343143 13.1258399,-59.5343554 13.1256947,-59.5343731 13.1254741,-59.5343872 13.1250743)",track,,,,,,,,,
"LINESTRING (-59.5343124 13.1270328,-59.5342295 13.1269306,-59.5340477 13.1268616,-59.5339121 13.1268226,-59.5314694 13.126676)",path,,,,,,,,,
"LINESTRING (-59.5347343 13.1275853,-59.5346746 13.1275061,-59.5346279 13.1274402,-59.5343267 13.1274197)",service,,,,,,,,,
"LINESTRING (-59.5327307 13.1276594,-59.5327602 13.1279362,-59.5327521 13.1281743)",service,,,,,,,,,
"LINESTRING (-59.5314633 13.1266411,-59.5298164 13.1265348,-59.5293202 13.126493,-59.529162 13.1264434,-59.5290466 13.1263546)",track,,,,,,,,,
"LINESTRING (-59.5415386 13.184477,-59.5411177 13.1848548,-59.5399448 13.18616)",track,yes,,,,,,,,
"LINESTRING (-59.542423 13.1871313,-59.5411177 13.1848548)",track,yes,,,,,,,,
"LINESTRING (-59.5970311 13.1647381,-59.5968719 13.1647545,-59.5967713 13.164763,-59.5966372 13.1647858,-59.596425 13.1648433,-59.5963712 13.1648709,-59.5963236 13.1649052)",residential,yes,,,,,,,,
"LINESTRING (-59.5941639 13.1647856,-59.5941839 13.1648213,-59.5943136 13.1649025,-59.5945336 13.1649272,-59.5948701 13.1648942,-59.5951264 13.1648294,-59.5953797 13.1646388,-59.5956153 13.1643972,-59.5957888 13.1642283,-59.5960337 13.1640593,-59.5963093 13.1639599,-59.5966136 13.1639036,-59.5970073 13.1638371)",residential,,Bow Road,40,,,,,,
"LINESTRING (-59.5960084 13.1655598,-59.5959997 13.1659172)",residential,,,,,,,,,
"LINESTRING (-59.5963236 13.1649052,-59.5962974 13.1649473,-59.5962824 13.1649949,-59.5962849 13.1651833,-59.5962942 13.1653831,-59.5962983 13.165579,-59.5963023 13.1657318,-59.5963063 13.1659009,-59.5963157 13.1660021,-59.5963143 13.1661352,-59.596313 13.1662959,-59.5963096 13.1663377,-59.5962915 13.1665571,-59.5962915 13.1667451,-59.5962915 13.1669436,-59.5963079 13.1671063,-59.596313 13.1672361,-59.596303 13.1674671)",residential,yes,,,,,,,,
"LINESTRING (-59.5967192 13.1665653,-59.5963096 13.1663377)",service,,,,,,,,,
"LINESTRING (-59.5956505 13.1666864,-59.595845 13.1666941,-59.5959965 13.1666994,-59.5962915 13.1667451)",residential,yes,,,,,,,,
"LINESTRING (-59.5963063 13.1659009,-59.5959997 13.1659172,-59.5958875 13.1659231,-59.5955643 13.1658931,-59.5949635 13.1657938,-59.5948297 13.1657129,-59.594765 13.1656737,-59.5945424 13.1655718,-59.5942978 13.1655482,-59.5942447 13.1655431,-59.5936438 13.1655483)",residential,,,,,,,,,
"LINESTRING (-59.5948297 13.1657129,-59.5946953 13.1658252,-59.5945933 13.1658826,-59.5944673 13.1658904,-59.5943519 13.1657938,-59.594309 13.1656867,-59.5942978 13.1655482)",residential,,,,,,,,,
"LINESTRING (-59.5941639 13.1647856,-59.5939967 13.1648415,-59.5935703 13.1648912,-59.5935273 13.1648716,-59.5935059 13.1648402)",residential,,,,,,,,,
"LINESTRING (-59.5969398 13.1673796,-59.596949 13.167625)",service,,,,,,,,,
"LINESTRING (-59.5976434 13.168145,-59.5975683 13.1678942,-59.5975146 13.1677271,-59.5974073 13.1675599,-59.5972679 13.1674659,-59.5971928 13.1674346,-59.5971177 13.1674032,-59.5969398 13.1673796,-59.5968816 13.1673719,-59.5966952 13.1674111,-59.5964464 13.1675243)",residential,yes,,,,,,,,
"LINESTRING (-59.5963214 13.167715,-59.5962781 13.1677028,-59.5962417 13.167677,-59.5962225 13.1676518,-59.5962073 13.1676105,-59.5962076 13.1675667,-59.5962154 13.167541,-59.5962223 13.1675306,-59.5962397 13.167504,-59.596262 13.1674852,-59.596303 13.1674671,-59.5963479 13.1674638,-59.5963774 13.16747,-59.5964168 13.1674913,-59.5964464 13.1675243,-59.5964616 13.167561,-59.596464 13.1676048,-59.5964508 13.1676467,-59.5964237 13.1676817,-59.596386 13.1677057,-59.5963214 13.167715)",residential,yes,,,,,,,,
"LINESTRING (-59.595232 13.1676487,-59.5953635 13.1676605,-59.5954373 13.1676722,-59.5955285 13.1676527,-59.5956264 13.1675808,-59.5957229 13.1674973,-59.5958248 13.1674646,-59.5959589 13.1674764,-59.5960877 13.1674973,-59.5962223 13.1675306)",residential,yes,,,,,,,,
