WKT,highway,name,surface,maxspeed,service,lit,oneway,access,foot,lcn,ref,bicycle,est_width,sidewalk,is_in,is_in:county,segregated,lanes,is_in:city,cycleway,addr:postcode,motor_vehicle,layer,bridge,tracktype,traffic_calming,path,abutters
"LINESTRING (-1.1864113 52.9773697,-1.1849613 52.9767062)",residential,Hayling Drive,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1973489 52.9205273,-1.1972238 52.9205575)",track,,,,,,,private,,,,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.1973489 52.9205273,-1.1984488 52.920444,-1.198535 52.9204312,-1.1986415 52.9204102)",residential,Leyton Crescent,,,,,,,,,,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.1987208 52.9199224,-1.1988375 52.9198749,-1.1988662 52.9198626,-1.1989715 52.9197984,-1.1988959 52.9197329)",service,,asphalt,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1991498 52.9200802,-1.1988662 52.9198626)",service,,asphalt,,parking_aisle,,,,,,,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.2017385 52.9199987,-1.2026919 52.9196141,-1.2042737 52.9189761)",residential,Lavender Grove,,,,,,,,,,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,,,,,,,,,,
"LINESTRING (-1.204828 52.9194897,-1.2032562 52.9201269)",residential,Lily Grove,,,,,,,,,,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,,,,,,,,,,
"LINESTRING (-1.2053236 52.920428,-1.2054037 52.9205062)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2038176 52.920637,-1.2054191 52.919985)",residential,Laburnum Grove,,,,,,,,,,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,,,,,,,,,,
"LINESTRING (-1.2054037 52.9205062,-1.205487 52.9205834)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.205487 52.9205834,-1.2055709 52.9206631)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2061567 52.9203875,-1.2055809 52.9200745,-1.2054191 52.919985,-1.2052695 52.919886,-1.2051384 52.9197862,-1.204828 52.9194897,-1.2042737 52.9189761,-1.203639 52.9184397,-1.2028645 52.9178313,-1.2021772 52.9173373,-1.2020942 52.9172844,-1.2019944 52.9172203,-1.2019485 52.9171937,-1.2018707 52.9171533,-1.2017446 52.9171011,-1.2016714 52.9170769,-1.2015786 52.9170585,-1.2014261 52.9170315,-1.2013066 52.9170227,-1.2012426 52.9170212,-1.2011265 52.9170257,-1.2009215 52.9170402,-1.2005371 52.9170622,-1.2003458 52.9170626,-1.1998271 52.9170392,-1.1996329 52.9170276,-1.1990557 52.9169931)",tertiary,Meadow Road,,,,,,,,yes,,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,,,,,,,,,,
"LINESTRING (-1.2063176 52.9205978,-1.2062806 52.9206158,-1.2059766 52.920768,-1.205916 52.9207987)",road,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2042737 52.9189761,-1.2063919 52.9178676)",residential,Victory Road,,,,,,,,,,,,,"Beeston,Nottinghamshire,United Kingdom",Nottinghamshire,,,,,,,,,,,,
"LINESTRING (-1.2064419 52.9205234,-1.2061567 52.9203875)",tertiary,Station Road,,,,,,,,yes,,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
"LINESTRING (-1.2068804 52.9200927,-1.2070479 52.920191)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.207289 52.920478,-1.2071213 52.9205872,-1.2072747 52.9206636,-1.207038 52.9208043,-1.2067379 52.9206415,-1.206968 52.9205068,-1.2071213 52.9205872)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2070678 52.9199895,-1.2072267 52.9200853)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2058754 52.9197878,-1.2059099 52.9197125,-1.2059209 52.9196885,-1.2059532 52.9196442)",service,,,,,,,,,,,,,,"Nottingham,Nottinghamshire,United Kingdom",Nottinghamshire,,,Nottingham,,,,,,,,,
