WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.5756011 13.2826164,-59.5755616 13.2825091,-59.5755643 13.2823759,-59.5755643 13.2821854,-59.5755643 13.2820026,-59.575575 13.2819034,-59.5755992 13.281833,-59.575626 13.2817781,-59.5757896 13.281551,-59.5759747 13.2813474,-59.5761758 13.2811882,-59.5762804 13.2810916,-59.5763287 13.2809976,-59.5763475 13.2809115,-59.5763448 13.2808201,-59.5763234 13.2807366,-59.5762912 13.2806609,-59.5761517 13.2803841,-59.5761329 13.2803111,-59.5761316 13.2802713,-59.5761302 13.2802301,-59.5761571 13.2799169,-59.5761758 13.2796663)",track,,,,,,,,,,
"LINESTRING (-59.5755992 13.281833,-59.5754449 13.2819289,-59.5753417 13.2819759,-59.5752639 13.2820255,-59.5752237 13.2821051,-59.5751968 13.2822552,-59.5751888 13.2824131,-59.5751673 13.2825045)",track,,,,,,,,,,
"LINESTRING (-59.5756011 13.2826164,-59.5751673 13.2825045,-59.5747608 13.2824391,-59.5745876 13.2823273,-59.5744781 13.2821231,-59.5742994 13.2816775,-59.5741334 13.2815479,-59.5734019 13.2815087,-59.572886 13.2813731,-59.5724784 13.2809614,-59.5722411 13.2805496,-59.5719109 13.2802634,-59.5714724 13.2802082,-59.5709823 13.2803438,-59.5706831 13.2807455,-59.5703941 13.281584,-59.570162 13.2818903,-59.5698834 13.2819003,-59.5694191 13.2818099,-59.569125 13.2817748,-59.5688686 13.2818838,-59.5686762 13.2819656)",track,,,,,,,,,,
"LINESTRING (-59.5662512 13.2667589,-59.5664856 13.2667227,-59.5666831 13.2667382,-59.5668388 13.2669804,-59.5668971 13.2670884,-59.5670536 13.2673658,-59.567017 13.2674783,-59.5669672 13.2677485,-59.5669603 13.2680814,-59.5669995 13.2683043,-59.5669785 13.2683711,-59.566963 13.2684208,-59.5667704 13.2685531,-59.5664809 13.268641,-59.5663287 13.2687643,-59.5663487 13.268856,-59.566446 13.2690531,-59.5664847 13.2691313,-59.5666151 13.2693064,-59.566596 13.2694681,-59.5665448 13.2695614,-59.5662701 13.269947,-59.5662126 13.2701025,-59.5662956 13.2702642,-59.566334 13.2706684,-59.5662765 13.2708799,-59.5662828 13.2709918,-59.5663084 13.2711473,-59.5664043 13.2712157,-59.5664745 13.2712903,-59.5665768 13.271365,-59.5666471 13.2715018,-59.5666407 13.2716448,-59.5665129 13.2719496,-59.5665384 13.2720553,-59.5671007 13.2730504,-59.5672413 13.2736785,-59.5676503 13.274487,-59.56781 13.2747482,-59.5678867 13.2748974,-59.5680145 13.2749845,-59.568104 13.2749783,-59.5681615 13.274941,-59.568219 13.2749099,-59.5682829 13.274885,-59.5684234 13.2750156,-59.5684682 13.2752271,-59.5684618 13.2756126,-59.5684234 13.2760231,-59.5685065 13.2761724,-59.568973 13.2765828,-59.5690433 13.2767818,-59.569056 13.2769995,-59.5690049 13.2771176,-59.5687429 13.2773353,-59.5685512 13.2777333,-59.5684234 13.2783801,-59.5684234 13.2790082,-59.5684746 13.2792072,-59.5686215 13.2793316,-59.568858 13.2796301,-59.5689027 13.2798229,-59.5690241 13.2809112,-59.5690688 13.281216,-59.5690177 13.2814585,-59.5689666 13.2816388,-59.5688686 13.2818838)",track,yes,,,,,,,,,
"LINESTRING (-59.6451065 13.2690068,-59.6448683 13.2692055)",track,yes,,,,,,,,,
"LINESTRING (-59.6443901 13.2770711,-59.6438778 13.27799,-59.6437008 13.2781857,-59.6435801 13.2783789,-59.6435173 13.2785504)",track,,,,,,,,,,
"LINESTRING (-59.6454003 13.2867024,-59.6450543 13.2863683,-59.6448156 13.2862586,-59.6446305 13.2861307,-59.6444803 13.2858984)",track,,,,,,,,,,
"LINESTRING (-59.6469041 13.288803,-59.6466165 13.2887211,-59.6462573 13.2884645,-59.6461104 13.2882148,-59.6459073 13.2876787,-59.6456659 13.2872689,-59.6455264 13.2868381,-59.6454003 13.2867024,-59.6452474 13.286645,-59.6448183 13.2866763,-59.6447405 13.2867572,-59.6447029 13.2869191,-59.6446252 13.2875168,-59.6444857 13.2877518,-59.6444803 13.2879998,-59.6447432 13.2883522,-59.6450221 13.2884488,-59.6453628 13.2885219,-59.645454 13.2886419,-59.6454432 13.2889317,-59.6453976 13.2891275)",track,,,,,,,,,,
"LINESTRING (-59.6472438 13.2885306,-59.6471067 13.288585,-59.646958 13.2886832,-59.6469041 13.288803,-59.6468642 13.2888916,-59.646935 13.2891189,-59.6469052 13.2893109,-59.646781 13.2894666,-59.6465443 13.2897376,-59.6455541 13.2901752,-59.6450371 13.2903741,-59.644692 13.2905069)",track,yes,,,,,,,,,
"LINESTRING (-59.6450371 13.2903741,-59.6452504 13.2908405,-59.6453566 13.2910058,-59.6455017 13.2909542,-59.6456468 13.2908595,-59.6457176 13.2907113,-59.6457264 13.2906183,-59.6456857 13.2904565,-59.6455541 13.2901752)",track,,,,,,,,,,
