WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.5800524 13.3076751,-59.5798643 13.3076409,-59.5797229 13.3077861,-59.5796975 13.3078346,-59.5796891 13.30787,-59.579695 13.3079102,-59.5797119 13.3079629)",residential,,,,,,,,,,
"LINESTRING (-59.5801061 13.3082909,-59.5800658 13.3081874,-59.5800637 13.3081335,-59.5800722 13.3080537,-59.5800935 13.3079947,-59.5801201 13.307945,-59.5801392 13.3079004,-59.5801467 13.3078528,-59.5801318 13.3078031,-59.5800676 13.3077031,-59.5800524 13.3076751,-59.5800507 13.3076447,-59.5800583 13.3076176,-59.5800746 13.3075638)",residential,,,,,,,,,,
"LINESTRING (-59.5798016 13.3083797,-59.5797144 13.3084489,-59.5796343 13.3085032)",residential,,,,,,,,,,
"LINESTRING (-59.5806581 13.3086263,-59.5807629 13.3088261)",residential,,,,,,,,,,
"LINESTRING (-59.5776024 13.3027958,-59.5775658 13.3028854,-59.5775903 13.3030696,-59.5775689 13.3032419,-59.5776055 13.3033102,-59.5776574 13.3033667,-59.5778681 13.303429,-59.5782314 13.3036727,-59.5784197 13.3038103,-59.5785113 13.3041698,-59.5785937 13.3049987,-59.5786304 13.3054057,-59.5787189 13.3055215,-59.5788312 13.306118,-59.5788288 13.306395,-59.5788746 13.306591,-59.5789418 13.3066891)",path,,,,,,,,,,
"LINESTRING (-59.588723 13.2434895,-59.5883453 13.2436232,-59.5880792 13.2436232,-59.5878561 13.2435814,-59.5876157 13.243573,-59.5874441 13.2436232,-59.5872209 13.2437401,-59.5869978 13.2438487,-59.5859077 13.2441829,-59.5847318 13.2445255,-59.58444 13.2446424,-59.5841224 13.2448012,-59.5838735 13.2449432,-59.5836246 13.2450602,-59.5833843 13.2450602,-59.5831268 13.24501,-59.5828865 13.2449265,-59.5827148 13.2447928,-59.5826633 13.2445923,-59.582577 13.243882)",residential,yes,,,,,,,,,
"LINESTRING (-59.5813807 13.2525716,-59.5814666 13.2522708,-59.5815524 13.2520536,-59.5816468 13.2519032,-59.5817412 13.2517863,-59.581827 13.251427,-59.58187 13.2511012,-59.5819043 13.2508255,-59.5818785 13.250483,-59.5817385 13.2500752,-59.5815445 13.2496181,-59.5814267 13.2492054,-59.5814638 13.2487753,-59.5815352 13.2485614,-59.5815456 13.2483954,-59.5815524 13.2482857,-59.5815009 13.2480601,-59.5813807 13.2478763,-59.5813636 13.2476591,-59.5815095 13.247492,-59.5816897 13.247375,-59.5819215 13.2472998,-59.5820674 13.2472497,-59.5821446 13.2471077,-59.5821189 13.2468069,-59.5820159 13.2464978,-59.5817498 13.2459213,-59.5816554 13.2456289,-59.581621 13.2452864,-59.5816554 13.245136,-59.5816725 13.2450691,-59.5815695 13.2448185,-59.5816897 13.2446598,-59.5814526 13.243882)",residential,yes,,,,,,,,,
"LINESTRING (-59.5730331 13.2465792,-59.5732133 13.2464121,-59.5784232 13.2434462,-59.5788181 13.2432373)",unclassified,,Walkers Road,,60,,,,,,
"LINESTRING (-59.5733077 13.2494198,-59.5734622 13.2488934)",unclassified,,Walkers Bridge,,60,,,,,yes,1
"LINESTRING (-59.5730331 13.2465792,-59.5725819 13.244856,-59.5725428 13.2447913,-59.5724952 13.2447704)",residential,,Babylon Road,,,,,,,,
"LINESTRING (-59.5705855 13.2452391,-59.5705251 13.2453226,-59.570505 13.2454492,-59.5704018 13.2471703,-59.5702902 13.2480475,-59.570213 13.2481812)",residential,,Babylon Road,,,,,,,,
