WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (456979.489823098 341852.375368722,456983.179570686 341860.140117645,456976.841805638 341862.768874791,456967.43670273 341866.930174265)",service,,,,,parking_aisle,,destination,,,,,,,,,,,,,,,
"LINESTRING (456977.70189466 341931.04611406,456968.893653006 341934.724921674,456965.094897033 341936.20432543)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456953.374886301 341831.985486159,456959.491285033 341846.988265855,456961.960763995 341853.436902293,456964.046200277 341858.278914248,456967.43670273 341866.930174265,456973.085375179 341880.581250498,456977.405970588 341891.802394842,456984.410968414 341908.896194527,456991.626193688 341925.814476122)",trunk,Mansfield Road,asphalt,30 mph,yes,,,,,both,A60,,4,,,,,,,,,,
"LINESTRING (456945.301331296 341814.356231299,456953.374886301 341831.985486159)",trunk,Mansfield Road,asphalt,30 mph,yes,,,,,both,A60,,4,,,,,,,,,,
"LINESTRING (456940.544581892 342029.793161685,456954.495694874 342065.537574575,456962.339732066 342084.93313413)",residential,Jenner Street,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,table
"LINESTRING (456945.301331296 341814.356231299,456943.744912277 341823.31628958,456941.997131016 341834.265585901,456941.024188824 341837.602938875,456937.7576845 341849.190744033)",primary_link,,asphalt,30 mph,,,yes,,,,,,1,,,,,,,,,,
"LINESTRING (456937.7576845 341849.190744033,456940.50061256 341845.551615415,456943.174946418 341842.034061789,456953.374886301 341831.985486159)",primary,Hucknall Road,asphalt,30 mph,yes,,yes,,,both,A611,,,,,lane,,,,,,,
"LINESTRING (457014.012866119 341984.889017924,456974.076420773 342000.950412746,456955.403937067 342008.462482953,456934.821770216 342016.742030763)",residential,New Street,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,yes
"LINESTRING (456971.649915625 341952.72539102,456933.360244585 341966.959692592)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456965.094897033 341936.20432543,456927.059017585 341951.120338164,456931.910454974 341962.892857641,456933.360244585 341966.959692592)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456931.910454974 341962.892857641,456922.206119223 341966.249665975,456916.091838182 341968.736500912)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (456927.059017585 341951.120338164,456925.077203303 341946.0347983,456927.673187022 341938.333062963,456929.422308522 341934.671087556,456932.411007535 341933.538126957)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455692.643759222 341716.973555914,455750.841376693 341740.396885845,455768.783392852 341747.780055035,455786.654370374 341753.749518503)",residential,Beaconsfield Street,asphalt,20 mph,yes,,,,,,,yes,,,,lane,,,,,,,cushion
"LINESTRING (455642.282613614 341851.647107658,455657.731999623 341810.126345555,455672.181620605 341769.706667061,455692.643759222 341716.973555914)",residential,Cardwell Street,asphalt,20 mph,yes,,,,,,,yes,,,,lane,,,,,,,cushion
"LINESTRING (455692.643759222 341716.973555914,455673.866154483 341709.225022825)",residential,Beaconsfield Street,asphalt,20 mph,yes,,,,,,,yes,,,,,,,,,,,cushion
"LINESTRING (455716.468673789 341624.883537711,455673.866154483 341709.225022825)",residential,Carver Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455739.999383504 341520.529818532,455777.471922373 341536.894289805,455837.110311591 341561.926224259)",residential,Cantabury Avenue,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455697.221710882 341587.913660028,455703.245818727 341574.009369934)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455746.210979726 341609.116854032,455730.104063192 341602.144351146,455697.221710882 341587.913660028,455652.194046674 341568.536714986,455645.196192533 341565.53005334,455643.46651004 341564.664579982)",residential,Berridge Road Central,asphalt,20 mph,yes,,,,,,,yes,,,,lane,,,,,,,
"LINESTRING (455672.181620605 341769.706667061,455560.271366521 341727.631468083,455558.766222799 341727.10237535)",residential,Belton Street,asphalt,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455673.866154483 341709.225022825,455588.828529922 341673.511363589,455586.429476805 341672.449070535)",residential,Beaconsfield Street,asphalt,20 mph,yes,,,,,,,yes,,,,,,,,,,,
"LINESTRING (455643.46651004 341564.664579982,455638.33120804 341573.72841659,455633.563452274 341582.373719093,455617.841444387 341612.53217139,455610.346533728 341627.031536919,455602.805680924 341641.441379872,455594.213738142 341657.307714944,455586.429476805 341672.449070535,455573.21681519 341698.219678659,455566.499342838 341711.137093839,455561.982880135 341720.731031783,455558.766222799 341727.10237535)",tertiary,Radford Road,asphalt,30 mph,yes,,no,,,,,yes,,,,,,,,,,,
"LINESTRING (455558.766222799 341727.10237535,455554.529615325 341735.141954773,455553.045248207 341738.062040053,455550.542331335 341743.696183279,455548.320772677 341749.978848852,455545.7630461 341759.795591232,455544.357737659 341766.35466092,455541.917768154 341780.533996518,455541.132483767 341784.574685515,455537.597308191 341808.721095669,455535.613969703 341824.663531354)",tertiary,Radford Road,asphalt,30 mph,yes,,no,,,,,yes,,,,,,,,,,,
"LINESTRING (455533.510376142 341745.925692629,455527.003265501 341772.10729899,455524.876668661 341780.649564215)",service,Gauntley Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455450.826784042 341762.55411143,455488.614179921 341771.88859438,455524.876668661 341780.649564215,455541.132483767 341784.574685515)",unclassified,Ward Street,asphalt,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455498.845216399 341730.819173606,455491.194881349 341762.984387045,455488.614179921 341771.88859438)",service,Gauntley Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455533.847915171 341693.205341082,455532.260875966 341681.104688738,455527.168714971 341672.423800122,455515.133009639 341666.533505603,455504.79676829 341662.965771438,455495.635369855 341657.108559646,455492.833541089 341650.178494415,455526.600563592 341624.276790515,455544.082851335 341608.623827247)",residential,Ashwell Gardens,,30 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455492.833541089 341650.178494415,455479.464363746 341659.793181334,455463.725557644 341675.143752136,455478.084682503 341679.914668889)",residential,Ashwell Gardens,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455649.192826875 341618.567359748,455644.248892424 341626.765597661,455643.572107403 341630.707390568,455640.347235523 341636.611311733)",service,Scotholme Avenue,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455644.248892424 341626.765597661,455619.211971264 341613.671639983,455617.841444387 341612.53217139)",residential,Scotholme Avenue,asphalt,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455621.461310593 341553.663782649,455639.452541076 341562.682482901,455643.46651004 341564.664579982)",residential,Berridge Road West,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455542.82994389 341569.803321975,455530.488525483 341595.739821618)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455427.479881073 341498.030930763,455436.40252325 341507.167314948,455462.466509865 341532.68826176,455473.341206481 341543.204455901,455516.134134986 341581.189405028,455530.488525483 341595.739821618,455544.082851335 341608.623827247,455555.619378268 341619.381463399,455594.213738142 341657.307714944)",residential,Bobbers Mill Road,asphalt,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455888.618525678 341457.707565583,455871.554547423 341451.569069601,455858.303386496 341446.798675516,455844.403311389 341441.79830343,455830.021577714 341436.625520367,455815.54617397 341431.418321537,455800.72963151 341426.084843972,455795.806328183 341423.736093352,455791.10397504 341420.86699639,455784.073234718 341416.624813805,455781.783699696 341414.796023398,455770.962436993 341410.154066473,455756.419396598 341403.811455104,455748.553527542 341400.338477668,455741.112859565 341397.270942027,455739.683818837 341396.542411928,455736.206437826 341395.200588393)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455743.248329768 341477.055061679,455738.843674504 341477.493756188,455732.286210595 341477.062067364,455720.661214232 341472.811469054,455701.917296521 341464.974229783,455699.321600518 341464.065373038)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455756.419396598 341403.811455104,455733.220915277 341451.940106847,455727.23367677 341457.389325532,455720.661214232 341472.811469054)",service,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455748.553527542 341400.338477668,455726.74230217 341447.581997027,455727.23367677 341457.389325532)",service,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455776.736257965 341312.092884743,455765.475526859 341335.604778553,455740.728367143 341386.352285486,455736.206437826 341395.200588393,455713.988276431 341438.133858126,455705.764916421 341452.84719106,455699.321600518 341464.065373038,455685.999810048 341488.132208734,455667.686467223 341521.030905569,455649.274475373 341554.35130553,455643.46651004 341564.664579982)",tertiary,Radford Road,asphalt,30 mph,yes,,no,,,,,yes,,,,,,,,,,,
"LINESTRING (455680.144782441 341440.168980522,455705.764916421 341452.84719106)",residential,Randal Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455661.1625948 341475.140479846,455685.999810048 341488.132208734)",residential,Selhurst Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455683.259103318 341416.485094698,455672.436034878 341435.885769178,455653.336459634 341470.555554033,455661.1625948 341475.140479846)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455672.436034878 341435.885769178,455680.144782441 341440.168980522)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455661.791629821 341426.384208027,455664.421961268 341416.712994465,455663.211555756 341412.74945627,455659.823632392 341409.47286399,455654.296306154 341407.072796677)",residential,Selhurst Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455720.371571567 341376.226745074,455740.728367143 341386.352285486)",residential,Kirkstead Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455643.109554103 341421.318190577,455650.295127972 341405.135343128)",residential,Selhurst Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455653.402242983 341336.59293241,455649.960079691 341348.51329491,455644.517516701 341367.319613047,455635.632898135 341398.046310733)",residential,Kirkstead Gardens,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455598.13790972 341415.59354428,455608.791274142 341381.738599522)",residential,Randal Gardens,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455538.226847212 341333.398174035,455529.160392811 341338.511841503,455525.79096793 341341.210004107,455520.411114304 341347.589883582,455516.251955275 341352.960243904,455500.09793929 341386.229271109,455498.560925333 341389.048637621,455474.08913677 341434.805233484,455459.23280865 341463.327541151,455436.40252325 341507.167314948)",residential,Craven Road,,30 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455622.687758234 341154.335607599,455606.414253337 341185.611435717,455598.293937755 341199.536216823,455590.424448005 341209.180542979,455579.784329874 341216.178486411,455563.764147198 341226.641377664,455554.640088256 341234.991886116,455548.472541189 341244.433341142,455539.786141444 341258.54084257,455535.464773315 341276.258733011,455533.470965933 341289.007993818,455532.483603837 341306.530581123,455533.13446655 341313.602817291,455534.745758617 341323.022470986,455538.226847212 341333.398174035,455548.501861067 341347.022801399,455552.903923257 341351.490289872,455564.862334438 341360.661824728,455577.892873148 341367.720736955,455608.791274142 341381.738599522,455635.632898135 341398.046310733,455650.295127972 341405.135343128,455654.296306154 341407.072796677)",residential,Birkin Avenue,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455398.250801864 342008.382797507,455400.187704858 342016.348697207,455403.137568234 342026.173069076,455433.997255804 342123.386724024,455435.631207341 342130.236603011,455436.566738921 342134.742087575,455436.707820441 342138.248273147,455436.573582093 342141.751298095,455435.723456052 342145.60212422,455434.222882186 342150.53579311,455430.718321969 342158.038725108,455367.280894407 342309.598243693)",service,,,,,driveway,,,,,,,,,,,,,,,,,
"LINESTRING (455394.607467014 342031.493383381,455411.058027673 342077.497348363,455414.325135976 342094.200992896,455414.744225176 342108.012677482,455408.851845432 342183.143030663,455408.106175237 342186.672417366,455406.26991058 342189.844397036,455404.879364964 342191.63079058,455402.877801018 342192.820517091,455400.206648522 342193.835678408,455392.055850961 342195.388764585,455389.825182771 342195.474433492,455383.301739479 342195.088094542,455371.415485957 342195.007413391,455367.292918438 342195.505298079,455364.534607348 342196.508354067,455360.394016056 342199.164405185,455358.144560403 342201.474994152,455355.527858339 342206.529398482,455354.399007854 342209.509245752,455353.326340273 342215.204384706,455352.761298393 342218.212946462,455351.90070712 342225.91312551,455351.70843256 342230.383414486,455352.315910753 342274.058376589)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455421.122617461 342004.005847785,455430.375875261 342001.809048635)",unclassified,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455401.481291184 342007.796823202,455421.122617461 342004.005847785)",unclassified,,,,,,,,,,,,,,,,1,,,,yes,,
"LINESTRING (455388.626491785 342010.141503597,455398.250801864 342008.382797507,455401.481291184 342007.796823202)",unclassified,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455387.396205226 341971.599434409,455386.779364671 341984.97645841,455387.469992578 342001.472521014,455388.626491785 342010.141503597,455393.233594441 342027.138639191,455394.607467014 342031.493383381)",unclassified,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455419.197866231 341922.410841722,455417.70760908 341924.685614528,455412.66963906 341932.360098788,455405.275475323 341939.92967657,455400.981657267 341944.79793288,455397.112815344 341951.262028771,455394.479866497 341957.718052553,455391.764251603 341964.940796032,455387.396205226 341971.599434409,455384.930141367 341971.704658851,455381.890293022 341972.648850102,455378.424873338 341973.221018286,455371.948811465 341973.947803646,455368.043624838 341974.214545758,455361.697835647 341974.709200817)",tertiary,Armstrong Way,asphalt,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455343.984680108 342022.980413918,455362.63689792 342030.470352)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455347.968343246 342041.060668122,455338.64501489 342037.660643547)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455335.698971226 342049.764915319,455328.516780756 342052.341641206,455321.247261327 342055.507034061,455306.7838122 342061.104428322,455292.337486067 342066.969075863,455277.826972282 342072.577142617,455263.075605054 342078.694273761)",service,,,,,,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455269.543359731 341967.768207787,455306.7838122 342061.104428322)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455365.928143006 342015.210382524,455350.075087421 342008.431176091)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455335.698971226 342049.764915319,455338.64501489 342037.660643547,455343.984680108 342022.980413918,455344.705761524 342021.008320851,455350.075087421 342008.431176091,455354.452911338 341996.810599297,455356.874041016 341990.663643372,455357.534442006 341985.197418056,455357.506011562 341980.646721631,455358.669637749 341977.567143398,455361.697835647 341974.709200817,455358.059735349 341973.354675182,455355.744684053 341972.004191975,455353.547914993 341969.709389664,455350.965774111 341964.706650717,455342.827172863 341942.306550937)",service,,,,,,yes,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455316.400389238 341949.190916933,455344.705761524 342021.008320851)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455330.669435761 341943.591318983,455351.547432807 341995.408847851,455354.452911338 341996.810599297)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455301.751748866 341955.097726481,455333.796593263 342035.847242215,455338.64501489 342037.660643547)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455283.944343881 341961.780587403,455321.247261327 342055.507034061)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455342.827172863 341942.306550937,455341.746586889 341941.070351996,455339.931177544 341940.660152765,455337.877884503 341941.081648296,455330.669435761 341943.591318983,455316.400389238 341949.190916933,455301.751748866 341955.097726481,455292.987088621 341958.613187526,455283.944343881 341961.780587403,455269.543359731 341967.768207787,455255.097440947 341973.577346952,455240.394975079 341979.505975847,455229.467123658 341984.253999794,455227.900998303 341985.537783945,455227.450381168 341986.76757175,455227.710543809 341988.684149302,455263.075605054 342078.694273761)",service,,,,,,yes,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455419.197866231 341922.410841722,455425.261147193 341917.863299648,455431.972827362 341910.074531531,455434.842858922 341902.864707779,455436.282628597 341898.553375352,455438.612318831 341892.194022607)",tertiary,Armstrong Way,asphalt,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455438.804129536 341882.505825125,455423.043070219 341886.408019382,455421.584080071 341888.883410742,455421.107463515 341891.203191871,455421.663395004 341894.847643287,455422.356240806 341900.607530327,455422.809701799 341903.816907546,455423.086797854 341905.422174187,455422.168422619 341912.876913553,455419.197866231 341922.410841722)",tertiary,Armstrong Way,asphalt,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455357.601809496 341903.736549678,455367.54084043 341901.491860123,455396.226254276 341896.224637156,455403.124014926 341895.046570654,455421.107463515 341891.203191871,455431.357095992 341890.575409584,455438.612318831 341892.194022607,455451.053181893 341892.003083947,455468.255563496 341891.844612364,455497.445615897 341891.18978509,455502.739640487 341891.640020872,455506.982600249 341892.378573225,455511.01130847 341894.22722715,455516.622372897 341898.063306499,455522.014960127 341905.712963559)",tertiary,Wilkinson Street,asphalt,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455523.322601411 341862.660778603,455519.460948278 341868.479577153,455517.113350137 341871.712391841,455514.157269607 341875.294232453,455511.505430775 341877.533373715,455507.343312117 341879.109872547,455498.585629045 341879.654508351,455488.479926764 341880.027913078,455467.79461178 341881.103111027,455454.857613664 341881.800087715,455438.804129536 341882.505825125,455430.349221079 341882.419901031,455413.31051307 341884.115719387,455402.200587078 341887.136800756,455396.058600533 341888.590552243,455369.832519567 341897.268155046,455357.601809496 341903.736549678)",tertiary,Wilkinson Street,asphalt,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455467.79461178 341881.103111027,455468.47973741 341872.911410556,455469.836757061 341866.451895857,455472.764156876 341857.763047422,455474.801355725 341849.976274547,455475.866427175 341843.791548068,455476.201125811 341839.2116444,455476.29416411 341837.543872722,455476.643175153 341831.718066027,455476.029691255 341820.80792851,455473.956668044 341813.585851748,455469.353478379 341802.685517944,455458.406687067 341782.122072528,455450.826784042 341762.55411143,455444.009330614 341746.187963894,455437.157874865 341724.002748598,455433.146489707 341711.852054275,455430.907935963 341709.679121108,455427.870542308 341708.053301028,455422.79221209 341709.27446625,455402.150219426 341720.563754118)",unclassified,Gauntley Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455357.601809496 341903.736549678,455210.098385113 341958.922065808)",tertiary,Wilkinson Street,asphalt,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455255.097440947 341973.577346952,455292.337486067 342066.969075863)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455240.394975079 341979.505975847,455277.826972282 342072.577142617)",service,,,,,parking_aisle,,,,,,,,,,,,,,NG7 7NU,,,
"LINESTRING (455402.150219426 341720.563754118,455393.667665524 341725.205961206)",unclassified,Gauntley Street,,,,,,,,,,,,,,,1,,,,yes,,
"LINESTRING (455393.667665524 341725.205961206,455384.482231984 341730.229518503)",unclassified,Gauntley Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455427.870542308 341708.053301028,455427.585950107 341703.588669974,455426.335773932 341699.56910726,455402.324994986 341669.610524037,455377.065219057 341631.983337001)",residential,The Poplars,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455384.482231984 341730.229518503,455374.954774064 341739.310014292,455360.482926302 341747.31029529)",track,,asphalt,,,,,,,,,,,,4,,,,,,,,
"LINESTRING (455360.482926302 341747.31029529,455325.015585613 341761.144638555,455286.271959183 341775.464636475,455257.601893789 341786.384500147,455234.24511008 341797.854821296)",track,,concrete,,,,,,,,,,,,4,,,,,,,,
"LINESTRING (455455.608135436 341631.593952058,455431.999577107 341605.200036251,455423.191510298 341594.874531664,455437.490351355 341582.099563991,455441.480771334 341577.361361013,455441.016033473 341565.184623723)",residential,Churchside Gardens,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455441.480771334 341577.361361013,455461.090319752 341578.832561812)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455389.604642747 341622.670369637,455377.065219057 341631.983337001,455366.858868669 341634.647724177)",residential,The Poplars,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455473.341206481 341543.204455901,455466.138957446 341550.965287498,455457.19110195 341558.661583803,455447.517963106 341563.423538038,455441.016033473 341565.184623723,455429.43608544 341565.786004773,455414.596211765 341565.41546077,455403.718055147 341563.977845877,455396.19556612 341561.021158548,455381.263045257 341550.569866824,455374.52875346 341546.821208941,455369.774973627 341545.498392573,455364.60875643 341545.583803573,455361.597294917 341546.372578824,455357.70294498 341548.007907447,455344.029932674 341557.174462606,455338.21128508 341560.857117683,455333.818586981 341564.366980633,455325.749428385 341571.01665241,455318.233452981 341576.871630467,455308.427158162 341582.132987335,455299.955597043 341586.97574757,455294.29702047 341591.350073941)",residential,Field Maple Drive,,30 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455349.312600629 341580.921383961,455356.993277167 341575.936137705)",residential,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455361.490045473 341582.685285696,455356.993277167 341575.936137705,455344.029932674 341557.174462606)",residential,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455299.199707511 341598.437577528,455294.29702047 341591.350073941,455289.050695618 341583.769115989)",residential,Field Maple Drive,,30 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455297.146412047 341528.44523032,455303.044037235 341530.771248686,455305.526536784 341552.12743064,455318.233452981 341576.871630467)",residential,Rosebay Avenue,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455303.044037235 341530.771248686,455311.752351627 341535.176569442,455322.648917102 341527.391071007,455330.65608014 341520.295659421,455337.90348972 341516.785122193,455345.076851829 341519.737715975,455350.887052809 341516.210729928)",residential,Rosebay Avenue,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455275.569912472 341601.983167005,455271.465539197 341606.130543881,455263.535472699 341614.139231133)",residential,Plantation Side,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455225.159678002 341644.37353553,455236.267885112 341638.603999051,455243.017679536 341632.773509413,455254.987291993 341622.752767065,455263.535472699 341614.139231133)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455146.423548364 341598.181639072,455175.485433494 341585.374228327,455183.992842458 341580.909931077,455192.292985022 341579.302555848,455201.429606541 341580.31926776,455212.25301008 341582.434460764,455220.603934104 341578.736104171,455232.231238657 341574.574575895,455237.130444269 341571.404182049)",residential,Meadow Brown Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455220.589119143 341444.316599314,455225.847596742 341461.432242376,455226.058761097 341484.086349849,455222.573674797 341501.624929692,455233.044832598 341552.766601901,455237.130444269 341571.404182049,455246.472035577 341584.450084694,455257.087544223 341595.341090897,455271.465539197 341606.130543881)",residential,Plantation Side,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455455.454103263 341429.13970423,455474.08913677 341434.805233484)",residential,Vincent Gardens,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455426.20496803 341329.919712173,455418.085842724 341333.8540186,455410.458572664 341345.270378135,455406.299962621 341356.459521711,455402.635342104 341369.089536032,455398.456803848 341377.919832121,455396.910962361 341380.928263791,455381.293009678 341403.845896646,455372.455798811 341414.77004092,455361.281679889 341427.403007775)",residential,Lambert Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455366.141170705 341433.577782822,455348.045349281 341448.256431205,455340.681805464 341454.858538319,455332.015697085 341460.244170746,455327.352090407 341462.182228976,455322.632157055 341463.173971369,455306.213471733 341462.218278799,455294.006353187 341461.844881704,455260.479183811 341460.927158879,455225.847596742 341461.432242376,455207.009980424 341463.486516265)",residential,Darley Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455509.068554851 341174.923809982,455481.015227531 341207.822538788,455368.689840958 341348.941254459)",residential,Hazelwood Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455175.586197689 341126.701014977,455188.245264247 341148.151105902,455198.631697595 341168.017681978,455210.553625816 341189.882185483,455222.295197835 341212.823840706,455230.435117735 341227.636047549,455245.018474766 341254.637717044,455263.94659461 341292.302948025,455290.134405319 341339.463599171,455296.448308547 341348.280586569,455301.414404402 341354.5455178,455333.130850873 341392.802495841,455361.281679889 341427.403007775,455366.141170705 341433.577782822,455384.543131392 341454.304344509,455400.720797902 341471.589909746,455419.35728631 341490.583708141,455427.479881073 341498.030930763)",residential,Bobbers Mill Road,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455316.429264994 341098.606467929,455318.504046332 341122.149710365,455320.276573557 341175.016534101,455321.546454397 341219.566794472,455324.133486582 341282.244599168,455324.872298324 341288.116245344,455325.7059195 341291.574725263,455328.038308403 341296.719210398,455350.294870413 341326.390248699,455368.689840958 341348.941254459,455382.917509986 341367.02769122,455388.240586725 341371.438833847,455398.456803848 341377.919832121)",residential,Berridge Road West,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455207.009980424 341463.486516265,455152.542121061 341468.215676681)",residential,Darley Avenue,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455117.225178892 341168.523345614,455131.763808821 341191.863830294,455165.217503239 341249.375605659,455198.530169117 341312.10391894,455225.756606123 341356.005159772,455249.955233896 341393.852990145,455280.76718129 341438.963764908,455294.006353187 341461.844881704)",residential,Chadwick Road,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455080.6241855 341244.950216239,455050.173519371 341341.150838049,455043.649976008 341357.175204323,455022.569350151 341385.694640971,454998.583093539 341424.016090269)",unclassified,Alfreton Road,,,,,,,,,,,,,,,1,,,,,,
"LINESTRING (454587.960090921 341248.18026357,454518.792661286 341262.496508509,454514.064805294 341266.570731477,454510.759938627 341271.929329648,454509.638066034 341275.510223594,454510.884435411 341324.587979985,454511.662642112 341335.388549565,454515.579442224 341355.558880644,454521.516805048 341388.335025499,454523.286347447 341391.047383564,454526.316388532 341393.963105444,454529.721404431 341395.792757876,454533.924017482 341395.39518063)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (454459.135838851 341014.157737208,454459.54736498 341052.734647628,454460.614931888 341341.75509106,454460.096325476 341387.753404685,454459.747785243 341418.667387978,454471.061881317 341437.485893675,454484.73703033 341451.825209904)",cycleway,,,,,,,,yes,,,,,yes,2.5,,,yes,,,,,
"LINESTRING (454662.961957392 340204.561780781,454662.090918128 340209.102273671,454651.516609249 340361.691854317,454649.512785795 340390.951620507,454647.743640319 340420.848198612,454645.233739333 340463.375019326,454637.035721179 340474.218720946,454627.183051626 340478.702168349,454594.87310349 340480.639973865,454518.725835036 340483.22909576)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454450.04575097 340476.602612272,454447.119900395 340328.444262232,454446.989224153 340298.303718398,454446.730673777 340294.417993885,454446.886763354 340216.763532944,454446.047405886 340188.695483998,454445.95944872 340185.768478136,454442.553021177 340113.614407369,454442.633402671 340102.901427404,454443.675030649 340095.72607024)",trunk,Western Boulevard,asphalt,40 mph,yes,,yes,,,separate,A6514,,2,,,,,,,,,,
"LINESTRING (454587.241310767 338760.057662036,454629.131110329 338726.764895063,454669.200233225 338691.682937944)",trunk_link,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (456323.392536117 338572.792737918,456327.284053688 338567.019398009,456330.389805379 338554.850821892,456330.768882272 338542.505843831)",cycleway,Experian Way,,,,,,,yes,,,,,,1.75,,,yes,,,,,
