WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-7012772.87765358 -2910823.7461687,-7012750.12667373 -2910826.04959028,-7012685.63456056 -2910846.96391421,-7012678.13033416 -2910844.48821702,-7012667.60466359 -2910836.50028994)",track,yes,,,,,,,,,
"LINESTRING (-7013108.93883624 -2911465.08561949,-7013080.18866485 -2911461.35587949,-7013053.71128658 -2911447.52620767,-7012944.2490613 -2911320.44508218,-7012889.24878771 -2911240.09211392,-7012869.15036165 -2911194.32841355,-7012844.56823477 -2911144.74474622,-7012806.16696428 -2911074.3017193,-7012791.3527928 -2911022.98955383,-7012787.29814815 -2910958.44019378,-7012785.25844263 -2910895.10868741,-7012778.41389292 -2910858.59458325,-7012772.87765358 -2910823.7461687,-7012761.9965173 -2910717.64639546,-7012747.24530643 -2910599.16045752,-7012730.65415826 -2910482.08577784,-7012720.39005459 -2910336.39751015,-7012732.31679449 -2910280.83650304,-7012757.57710413 -2910224.14863826,-7012759.85230055 -2910180.50114272,-7012739.50943519 -2910136.0339271,-7012700.84090181 -2910113.27390851,-7012640.07068962 -2910086.10959142,-7012571.76932371 -2910082.10109813,-7012493.11945066 -2910067.93056504,-7012261.10627192 -2909996.64432469,-7012043.99453121 -2909928.81010804,-7012008.36022149 -2909899.88041092,-7011961.86816068 -2909859.2401771,-7011896.13036825 -2909852.65187488,-7011804.75308697 -2909851.43533289,-7011739.17615778 -2909870.49301075,-7011654.30682831 -2909918.4849168,-7011603.97506 -2909987.22020614,-7011561.80629939 -2910049.70458933,-7011542.28072865 -2910118.1297547,-7011557.91149248 -2910224.22684122,-7011621.73021323 -2910320.66531223,-7011663.35460857 -2910402.40767228,-7011707.47205366 -2910471.307491)",track,yes,,,,,,,,,
"LINESTRING (-7012808.18196814 -2909716.2499117,-7012379.48953923 -2909545.40591069,-7012367.89978482 -2909546.01731622,-7012344.32468903 -2909547.25274575,-7012327.93380277 -2909551.6061907,-7012289.61818473 -2909536.67395888,-7012228.76813729 -2909485.56487047)",track,yes,,,,,,,,,
"LINESTRING (-7012368.99859408 -2909354.32356333,-7012370.7743719 -2909371.34908189,-7012382.5719307 -2909397.86810262,-7012376.15776243 -2909414.27656674,-7012353.99490297 -2909445.34999696,-7012349.61587813 -2909474.15765445,-7012351.84603368 -2909533.44129909,-7012367.89978482 -2909546.01731622)",track,,,,,,,,,,
"LINESTRING (-7012334.29837026 -2909324.74498904,-7012385.90357238 -2909342.75143203)",track,,,,,,,,,,
"LINESTRING (-7012199.03403601 -2909288.38413107,-7012191.04025059 -2909301.45463123,-7012167.10303396 -2909316.32354415,-7012135.42622672 -2909323.87205941,-7012090.44932924 -2909318.8855165,-7012050.76596717 -2909319.67762988,-7012001.62914206 -2909331.78287704,-7011968.68220289 -2909339.76735297,-7011959.234834 -2909351.0987966,-7011962.62781107 -2909367.99934596,-7011980.80575333 -2909385.0388695,-7012021.19583081 -2909401.5976467,-7012053.91464943 -2909423.62296057,-7012090.2417236 -2909429.69057363,-7012119.4298144 -2909434.41100744,-7012149.41520956 -2909449.7793246,-7012167.48806885 -2909451.17126911,-7012186.27762844 -2909471.34781308,-7012202.5633799 -2909481.44181954,-7012228.76813729 -2909485.56487047)",track,,,,,,,,,,
"LINESTRING (-7012320.68643137 -2909306.32186406,-7012312.71808024 -2909320.2870831,-7012296.32136657 -2909323.45233403,-7012279.20819874 -2909318.13844286,-7012259.76025773 -2909305.98908456,-7012244.64686453 -2909294.52790747,-7012230.04864509 -2909286.97529572,-7012204.48101215 -2909287.29434157,-7012199.03403601 -2909288.38413107,-7012163.8543678 -2909295.51345157)",track,,,,,,,,,,
"LINESTRING (-7012257.75799712 -2909144.63588341,-7012258.04119129 -2909125.79500448,-7012251.25082494 -2909112.29782346,-7012231.41558378 -2909105.45537945,-7012173.03939295 -2909097.65891831,-7012143.70057115 -2909086.99673296,-7012119.64155178 -2909052.04223329)",track,,,,,,,,,,
"LINESTRING (-7011959.234834 -2909351.0987966,-7011933.88353825 -2909357.31743034,-7011895.9223945 -2909353.78213586,-7011856.43523432 -2909350.05227839,-7011783.40168144 -2909357.8177646)",track,,,,,,,,,,
"LINESTRING (-7012116.774377 -2909112.31556943,-7012095.63658613 -2909104.58611548,-7012060.81154822 -2909103.44449712,-7012002.53506182 -2909111.97601468,-7011926.20306096 -2909131.63315216,-7011892.28374582 -2909141.10199782,-7011867.61471369 -2909142.46819782,-7011821.8042251 -2909157.10733939,-7011786.49617843 -2909154.48939077)",track,,,,,,,,,,
