WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-7006572.94717025 -2943168.2783513,-7006478.11777588 -2943004.94207898,-7006415.78148158 -2942877.90731495,-7006431.0983617 -2942828.36018789,-7006454.13948537 -2942815.34066525)",track,yes,,,,,,,,,,
"LINESTRING (-7006205.40617967 -2942497.50959125,-7006415.78148158 -2942877.90731495)",track,yes,,,,,,,,,,
"LINESTRING (-7007373.21951038 -2943300.65961559,-7007386.25125363 -2943274.43499495,-7007442.48605003 -2943201.49435821,-7007480.3356925 -2942973.57847646,-7007485.76735894 -2942908.58572334,-7007415.64277256 -2942657.26415894,-7007410.29642339 -2942584.15985656,-7007468.04128627 -2942392.68490552)",track,yes,,unpaved,,,,,,,,
"LINESTRING (-7007437.43216304 -2942312.4994766,-7007468.04128627 -2942392.68490552)",track,yes,,,,,,,,,,
"LINESTRING (-7007281.11826662 -2942228.44239692,-7007566.38331924 -2942057.78877589)",track,yes,,,,,,,,,,
"LINESTRING (-7008359.10558019 -2942967.82684372,-7008355.07304708 -2942949.97440344,-7008351.75413754 -2942868.88235588,-7008360.93989501 -2942845.2252654,-7008201.846202 -2942150.9311173,-7008113.74495404 -2941846.66422307,-7008082.00689999 -2941795.51587173,-7008055.7880292 -2941769.76820069,-7008035.09478047 -2941759.42092486)",track,yes,,,,,,,,,,
"LINESTRING (-7007535.4142217 -2942203.90797955,-7007566.38331924 -2942057.78877589,-7008025.86594626 -2941777.60355249,-7008035.09478047 -2941759.42092486,-7008008.14968862 -2941726.35954109,-7007986.93896551 -2941693.01643722,-7007958.02963706 -2941611.79907634,-7007966.29562874 -2941412.93516076)",track,yes,,unpaved,,,,,,,,
"LINESTRING (-7005488.49489113 -2945796.48421566,-7005390.56936006 -2945553.26324807,-7005447.00482236 -2945512.97545013,-7005370.20070956 -2945316.75842463)",track,yes,,unpaved,,,,,,,,
"LINESTRING (-7017133.81389403 -2943384.73547055,-7017134.10534468 -2943316.66677683,-7017142.37804999 -2943103.57674536,-7017128.54040707 -2943053.21064672,-7017080.03822198 -2942961.61996676,-7017021.90386481 -2942821.35871174,-7016981.99243102 -2942685.84158073,-7016956.86949835 -2942551.04110685,-7016963.0497126 -2942487.66412291,-7016970.56730928 -2942448.26198899,-7016988.21408277 -2942414.25000701,-7016984.8082785 -2942367.10082399,-7016947.54945429 -2942291.95069308,-7016923.04262765 -2942256.21189975)",track,,,,,,,,,,,
"LINESTRING (-7016576.8907512 -2941970.18544096,-7016596.19803871 -2942025.7311397,-7016606.09745162 -2942052.09794499,-7016626.59879463 -2942078.73091433,-7016645.12451516 -2942093.02966984,-7016668.13489803 -2942108.00460552,-7016698.5327182 -2942134.5892242,-7016741.49790378 -2942214.03944802,-7016789.4547082 -2942315.67405505)",track,yes,,,,,,,,,,
"LINESTRING (-7016198.28494465 -2942120.81606921,-7016321.29311633 -2942453.98725303)",track,,,,,,,,,,,
"LINESTRING (-7016576.8907512 -2941970.18544096,-7016198.28494465 -2942120.81606921,-7015685.56548376 -2942324.77624931)",track,yes,,,,,,,,,,
"LINESTRING (-7015663.67424497 -2942274.60353751,-7015615.97929822 -2942288.67952642,-7015559.87819234 -2942316.2443219,-7015501.23881278 -2942352.17351663,-7015461.20485657 -2942386.08949375,-7015399.62386253 -2942410.13565807,-7015242.14029693 -2942464.53471294)",track,,,,,,,,,,,
"LINESTRING (-7016361.23905961 -2941132.20955046,-7016389.10680114 -2941211.6606847,-7016442.38850066 -2941470.72475853,-7016466.23380785 -2941541.50968272,-7016539.22743053 -2941722.54573029,-7016548.03928178 -2941748.70631715,-7016550.66622889 -2941771.81336369,-7016546.09685912 -2941788.80467296,-7016536.93815299 -2941817.62547304,-7016532.35806876 -2941833.63584807,-7016534.02692697 -2941854.19584213,-7016576.8907512 -2941970.18544096)",track,yes,,,,,,,,,,
"LINESTRING (-7010245.69585078 -2937391.11829753,-7010206.41523322 -2937397.82165577,-7010115.50123202 -2937413.32763345,-7010037.45311368 -2937429.01977923,-7009978.77913524 -2937442.46506182,-7009966.60990663 -2937468.1346952,-7009937.58990946 -2937475.82574425,-7009910.93981145 -2937484.14767942,-7009884.35911417 -2937509.66297989,-7009872.64338445 -2937543.06940995,-7009872.74402667 -2937572.01700744,-7009872.82105027 -2937592.54862375,-7009892.35800561 -2937811.17546197)",track,yes,,,,,,,,,,
"LINESTRING (-7009586.17333004 -2937521.09020128,-7009664.44386333 -2937503.17130281,-7009673.90171024 -2937508.59213063,-7009695.64974569 -2937594.12319424,-7009701.30732528 -2937603.37453683,-7009714.24344002 -2937604.07002002,-7009872.74402667 -2937572.01700744)",track,yes,,,,,,,,,,
"LINESTRING (-7009656.10000424 -2937362.55112051,-7009612.1662982 -2937385.87708955,-7009573.72775399 -2937399.91950216,-7009568.47538239 -2937459.58061803,-7009574.82513611 -2937496.51192237,-7009586.17333004 -2937521.09020128,-7009587.95470747 -2937682.93318151,-7009591.33716656 -2937871.61370123)",track,yes,,,,,,,,,,
"LINESTRING (-7009978.77913524 -2937442.46506182,-7009941.46747911 -2937417.05866285,-7009917.26270889 -2937381.4881569,-7009901.91284787 -2937361.56606831,-7009880.77391249 -2937284.00382583,-7009857.72637593 -2937092.24661153,-7009976.04956005 -2937095.88780598,-7009990.57679543 -2937126.15293503,-7010019.88533066 -2937140.62238626,-7010071.97151034 -2937211.04969211)",track,yes,,,,,,,,,,
"LINESTRING (-7009880.77391249 -2937284.00382583,-7009835.84837763 -2937293.50408405,-7009765.3596941 -2937314.54499957,-7009712.72417485 -2937330.96453799,-7009656.10000424 -2937362.55112051)",track,yes,,,,,,,,,,
"LINESTRING (-7009857.72637593 -2937092.24661153,-7009770.72802035 -2937103.1284817,-7009682.11435504 -2937118.98549938,-7009580.581093 -2937140.22942869,-7009576.33272933 -2937273.64321073,-7009582.61569586 -2937287.76510492,-7009617.41004257 -2937317.07718074,-7009641.06261217 -2937340.53576591,-7009656.10000424 -2937362.55112051)",track,yes,,,,,,,,,,
"LINESTRING (-7009580.581093 -2937140.22942869,-7009578.31840917 -2937035.46339353)",track,,,,,,,,,,,
