WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.6042314 13.2722559,-59.6042686 13.2708461,-59.6043144 13.2697766,-59.6043201 13.2696432,-59.6043974 13.2693424,-59.6045261 13.2690751,-59.6046205 13.2689748,-59.6048008 13.2689247,-59.6051355 13.269025,-59.6054274 13.2690417,-59.6055818 13.2689999,-59.6056505 13.2680726,-59.6056505 13.2676549)",track,yes,,,,,,,,,
"LINESTRING (-59.6054604 13.2723487,-59.6054274 13.271481,-59.6054617 13.2708879,-59.6055132 13.2705955,-59.6054274 13.2696264)",track,yes,,,,,,,,,
"LINESTRING (-59.5960149 13.2461852,-59.5958688 13.2462065,-59.5957397 13.2462751,-59.5955988 13.2463722,-59.5955196 13.246435,-59.595138 13.2464722,-59.5951028 13.2463722,-59.5951086 13.2457979,-59.5951732 13.2453294,-59.595229 13.2449463)",path,,,,,,,,,,
"LINESTRING (-59.5954814 13.2448517,-59.5953523 13.2448663,-59.595229 13.2449463,-59.5951116 13.2449806,-59.5948709 13.2449692,-59.5945716 13.244892,-59.5943279 13.244852,-59.5941196 13.2448234,-59.5939464 13.2448206,-59.5938319 13.2448777,-59.5936499 13.2449177,-59.5935795 13.2449492,-59.5936 13.2450549,-59.5937145 13.2452806,-59.5939024 13.245532,-59.5940198 13.2457263,-59.5940814 13.2459091,-59.5939992 13.2462291,-59.5938642 13.2465148,-59.5937938 13.2466662,-59.5938202 13.2467577)",track,,,,,,,,,,
"LINESTRING (-59.6035496 13.2464817,-59.60295 13.2462973,-59.6025466 13.2462221,-59.6021474 13.2462007,-59.6017312 13.2461051,-59.6013879 13.2460634,-59.6009244 13.245938,-59.6003665 13.2458545)",track,yes,,,,,,,,,
"LINESTRING (-59.5991524 13.247346,-59.5990926 13.2471926,-59.5990283 13.2470046,-59.5990068 13.2467958,-59.5990283 13.2465451,-59.599157 13.2463154,-59.5991141 13.2461065,-59.5991355 13.245835,-59.5991999 13.2456679,-59.5993716 13.2455008,-59.5995432 13.2452929,-59.5997578 13.2450005,-59.599908 13.2446455,-59.599908 13.2443948,-59.5998866 13.2441442,-59.5997149 13.2439771,-59.5996076 13.2436847,-59.5995218 13.2431416,-59.5994789 13.2427239,-59.5994145 13.2424105,-59.5993501 13.2420972,-59.599436 13.2417422,-59.5996934 13.2415959,-59.5999724 13.2413871,-59.6003157 13.2411991,-59.6005303 13.2410947,-59.6004976 13.2408962,-59.6003581 13.2407709,-59.6002186 13.2406142,-59.6001006 13.240468,-59.6000899 13.2403636,-59.6001006 13.2401861,-59.600165 13.2399772,-59.6004874 13.2399041,-59.6007827 13.239826)",track,,Old Indian Trail,,,,,,,,
"LINESTRING (-59.6023718 13.2440911,-59.6021474 13.2462007,-59.6022418 13.2464514,-59.6020813 13.2477742)",track,yes,,,,,,,,,
"LINESTRING (-59.5985717 13.2479948,-59.5989556 13.2481619,-59.5992818 13.2482371,-59.5994567 13.248152,-59.5996798 13.2481771,-59.5998601 13.2482272,-59.6001176 13.2483525)",residential,yes,,,,,,,,,
"LINESTRING (-59.5983008 13.2487741,-59.5981488 13.2487551,-59.5978913 13.2487384,-59.5976681 13.2486715,-59.5963324 13.2481353,-59.5961693 13.2480601,-59.5959204 13.2477761,-59.5957831 13.2475254,-59.5957144 13.2472163,-59.5957316 13.2470241,-59.595826 13.2468153,-59.5959634 13.2465563,-59.5960234 13.246314,-59.5960149 13.2461852,-59.5960063 13.246055,-59.5958174 13.2458796,-59.5956372 13.2456373,-59.5955428 13.2454367,-59.5954999 13.2451276,-59.5954814 13.2448517,-59.5954741 13.2447433,-59.5955085 13.2445762,-59.5955943 13.2441835,-59.5955599 13.2439078,-59.5953711 13.2433815,-59.5950278 13.2425627,-59.5949763 13.242404,-59.5949591 13.2422034,-59.5951222 13.2414515,-59.5950106 13.2413429,-59.5948905 13.2412761,-59.5946673 13.2412844,-59.594427 13.2413429,-59.5941266 13.241393,-59.5940064 13.2414599,-59.5939463 13.241627,-59.5938433 13.2417272,-59.5936631 13.241769,-59.5935687 13.2417606,-59.5934313 13.2417857,-59.5932339 13.2417857,-59.5931052 13.2417439,-59.5929507 13.241769,-59.5926675 13.2417857,-59.5923499 13.2417941,-59.5920666 13.2417773,-59.5917491 13.2416604,-59.5914487 13.2418108,-59.5911777 13.2421109,-59.5909546 13.2423031,-59.5906713 13.2426206,-59.5905168 13.242771,-59.5902765 13.242913,-59.5898473 13.2430717,-59.5892122 13.2432973,-59.588723 13.2434895)",track,yes,,,,,,,,,
"LINESTRING (-59.6032481 13.248034,-59.6037224 13.2480351,-59.6041259 13.2480852,-59.6046408 13.2481019,-59.6050786 13.248269,-59.6055506 13.2484277,-59.6059884 13.2484361,-59.606366 13.2484027)",track,yes,,,,,,,,,
"LINESTRING (-59.6255935 13.2668904,-59.6256053 13.2666999,-59.6256133 13.2664389,-59.6255945 13.2661595,-59.6255489 13.2657001)",residential,,,,,,,,,,
"LINESTRING (-59.6258858 13.2657061,-59.6260038 13.2664006,-59.6260333 13.2664528,-59.6260977 13.2665102,-59.6263873 13.2667165,-59.6264383 13.2667426,-59.6264732 13.2667713,-59.6265973 13.2668651)",residential,,Maynards Village,,,,,,,,
"LINESTRING (-59.6286543 13.2667024,-59.6290211 13.2666908,-59.629072 13.2666751,-59.629099 13.2666349,-59.6290828 13.2661943)",service,yes,,,,,,,,,
"LINESTRING (-59.6274949 13.2665598,-59.6285572 13.266541,-59.6285973 13.2665511,-59.6286281 13.266572,-59.6286543 13.2667024,-59.6286507 13.2668699)",residential,yes,,,,,,,,,
"LINESTRING (-59.6303757 13.2665758,-59.6303387 13.2665596,-59.6303226 13.2665152,-59.6303226 13.2661856)",residential,,Maynards Ridge,,,,,,,,
"LINESTRING (-59.6327033 13.2654055,-59.632772 13.266343,-59.6327661 13.2664017)",residential,,Maynards Ridge,,,,,,,,
"LINESTRING (-59.6327661 13.2664017,-59.6330907 13.2664245)",service,,,,,,,,,,
"LINESTRING (-59.6327661 13.2664017,-59.6327178 13.2664382,-59.6323049 13.266464,-59.6303757 13.2665758)",residential,,Maynards Ridge,,,,,,,,
"LINESTRING (-59.6323281 13.266839,-59.6323049 13.266464)",residential,yes,,,,,,,,,
"LINESTRING (-59.6335574 13.2668107,-59.6335312 13.2663945,-59.6333977 13.2652593,-59.6332752 13.2643228,-59.6329233 13.2637213)",residential,,Convent Road,,,,,,,,
"LINESTRING (-59.6296867 13.2668938,-59.6297132 13.266144,-59.6303226 13.2661856,-59.6308052 13.2660456,-59.6320335 13.2656675,-59.6327033 13.2654055,-59.6328697 13.2653251,-59.6333977 13.2652593)",residential,,Valley View,,,,,,,,
"LINESTRING (-59.630967 13.266891,-59.6309556 13.2673271,-59.6308993 13.2674864,-59.6308054 13.2676169,-59.6307679 13.2677422,-59.6308752 13.2682826)",residential,,,,,,,,,,
"LINESTRING (-59.6296867 13.2668938,-59.6296205 13.2676868,-59.6295615 13.2684543,-59.6295722 13.2687362,-59.6296232 13.268872,-59.629709 13.2689085,-59.6298029 13.2688903,-59.6298727 13.2688485,-59.6299558 13.2687258,-59.6301999 13.2684961,-59.6303742 13.2683864,-59.6305164 13.2683786,-59.6306183 13.2684203,-59.631034 13.268885)",track,,,,,,,,,,
"LINESTRING (-59.6259218 13.2678708,-59.6253267 13.2678941)",service,,,,,,,,,,
"LINESTRING (-59.626182 13.2683582,-59.6255963 13.2687837)",residential,,Rachael Drive,,,,,,,,
"LINESTRING (-59.6246624 13.2675627,-59.6246812 13.2673291,-59.6246987 13.267303,-59.6247268 13.2672885,-59.6254429 13.267265,-59.6254433 13.2669015)",residential,,Maynards H/A,,,,,,,,
"LINESTRING (-59.6254429 13.267265,-59.625333 13.2676879,-59.6253267 13.2678941,-59.6253222 13.268043,-59.6253973 13.2682727,-59.6254955 13.2685855,-59.6253866 13.2686382,-59.6250897 13.2687968)",residential,,Leslie Gardens,,,,,,,,
"LINESTRING (-59.6248 13.2684365,-59.6247678 13.2683948,-59.6247517 13.2683008,-59.6247464 13.2681755,-59.6247464 13.2681076,-59.6247839 13.2680658,-59.6253222 13.268043)",residential,yes,,,,,,,,,
"LINESTRING (-59.6188425 13.2642131,-59.6189282 13.2644404,-59.6189443 13.2647589,-59.6189644 13.2648664,-59.6190462 13.2653019,-59.6191299 13.2656483,-59.6191749 13.2658345,-59.6191956 13.2662262,-59.6192178 13.266649)",residential,,Brevitor Hall North,,,,,,,,
"LINESTRING (-59.6191956 13.2662262,-59.6197918 13.266294,-59.6198455 13.2663514,-59.619824 13.2665916,-59.6192661 13.2669675,-59.6192071 13.2669832,-59.6189013 13.2669414,-59.6188155 13.2668997,-59.6187726 13.2668266,-59.6187404 13.2660173,-59.6184883 13.2648216,-59.6184883 13.2647172,-59.6185741 13.2645971,-59.6186814 13.2645031,-59.6189282 13.2644404)",residential,,Bow Drive East,,,,,,,,
